areacd,areanm,category,1981,1991,2001,2011,2021
K04000001,England and Wales,density,321.2351119266975,330.2964048451527,344.54123708420036,371.2481318156072,395.0
E92000001,England,density,351.2530960491916,361.10071612902686,377.0904290170164,406.8165515839338,434.0
W92000004,Wales,density,132.59892651793248,136.7188564321055,139.99867422292087,147.73242207522418,150.0
E12000001,North East,density,302.497795510936,296.4260910115873,293.14853597627683,302.6396240018325,308.0
E12000002,North West,density,484.45164464269516,476.8115149591722,477.0173555206587,499.8705486854535,526.0
E12000003,Yorkshire and The Humber,density,312.27806139302373,313.9691304018757,322.2984729530001,343.00027360263147,356.0
E12000004,East Midlands,density,242.0796729976678,253.03975001385086,267.04440310051484,290.1536616430958,312.0
E12000005,West Midlands,density,392.2530037717415,396.2210714208864,405.231580768583,430.9687823521511,458.0
E12000006,East of England,density,249.01513649092647,264.47073862683726,281.8714543671232,305.87411020939817,331.0
E12000007,London,density,4203.860382379276,4249.089139983771,4562.309466201298,5199.6061400323715,5598.0
E12000008,South East,density,368.5960509622477,393.25254589471916,419.50018160533983,452.7483963001368,486.0
E12000009,South West,density,178.38348247726523,193.3811182550007,206.76467996130668,221.8889311718801,239.0
E10000003,Cambridgeshire,density,143.84833323167783,161.4973257818944,181.4173175409051,203.9270625173452,223.0
E10000006,Cumbria,density,69.69558433431516,71.38989436781469,72.04770096667575,73.85666911354369,74.0
E10000007,Derbyshire,density,269.9124329009034,278.7208949300043,288.43443006466737,302.22216847191777,312.0
E10000008,Devon,density,88.17318157124365,98.55551257091899,107.32857312465948,113.71370364246476,124.0
E10000011,East Sussex,density,242.4536829620664,270.0997845351675,288.1387824115381,308.24142010726126,319.0
E10000012,Essex,density,341.12740815092684,359.1925610790087,379.0319313729484,402.95408348010767,435.0
E10000013,Gloucestershire,density,185.9227334486445,199.19458087593287,212.83739461013096,225.0619408173021,243.0
E10000014,Hampshire,density,289.59316834082,318.0730047721308,337.1396706268408,358.2545336548102,381.0
E10000015,Hertfordshire,density,578.6502312050812,593.9076911803434,629.3061668706857,679.2561049467853,730.0
E10000016,Kent,density,342.23588824550995,357.92996518869444,375.1574493189176,412.97321728718407,445.0
E10000017,Lancashire,density,371.85873595542796,380.5646264471849,392.1997792116508,404.7610170169163,427.0
E10000018,Leicestershire,density,254.1680111502559,271.5159903248072,292.66109041847983,312.30059293946755,342.0
E10000019,Lincolnshire,density,91.44570118431534,98.4508612075554,108.91363159137188,120.19747706446744,129.0
E10000020,Norfolk,density,127.2818459092277,138.49761682746424,147.99018496985278,159.35269839029047,170.0
E10000023,North Yorkshire,density,61.61603262280095,66.61878700556416,70.87664620342838,74.44920680793638,77.0
E10000024,Nottinghamshire,density,339.8508944619814,350.3362791768817,359.0425206598151,376.93564571746697,396.0
E10000025,Oxfordshire,density,194.71883276956376,210.2101952236437,232.43915252412202,250.98433339328358,278.0
E10000027,Somerset,density,120.99189372252584,133.42882291889168,144.36674724928838,153.60220549640914,166.0
E10000028,Staffordshire,density,288.44264374379816,300.1570017838111,307.88210474670217,323.8150819029978,334.0
E10000029,Suffolk,density,155.2994043767983,167.439764977061,175.93299104111233,191.62338013502475,200.0
E10000030,Surrey,density,596.9794729415829,610.4788772787876,636.9988940870287,681.1295494099371,724.0
E10000031,Warwickshire,density,237.86469851346524,245.17884521542095,256.1252561039911,276.178655551891,302.0
E10000032,West Sussex,density,326.5229288884326,352.7231539353375,378.49697114831184,405.2592107607859,443.0
E10000034,Worcestershire,density,274.3574441597457,296.8019621329123,311.46946755559173,325.28837313067436,347.0
E11000001,Greater Manchester,density,2018.372516226718,1958.8371936281235,1945.4255624295638,2102.324327459165,2248.0
E11000002,Merseyside,density,2304.709834437528,2152.1818094560385,2088.364996414416,2117.754983977949,2182.0
E11000003,South Yorkshire,density,832.7350601370102,813.7868956353094,816.1761213167205,865.974107032541,886.0
E11000005,West Midlands,density,2915.155114655025,2830.0346202667474,2834.397783149474,3034.9823848666792,3238.0
E11000006,West Yorkshire,density,996.2786408789892,992.3294152849717,1024.6200262499813,1096.9809367815421,1159.0
E11000007,Tyne and Wear,density,2102.9646917982127,2028.2538213850885,1992.6633703010766,2046.1685028304569,2088.0
E13000001,Inner London,density,7598.001289288692,7844.898820908529,8664.580708657719,10123.550568245535,10664.0
E13000002,Outer London,density,3338.935252257969,3332.772981796557,3516.914714017169,3944.8428900409886,4307.0
E06000001,Hartlepool,density,1008.0454986822027,964.7022418557996,945.4741402306944,981.9776561349594,985.0
E06000002,Middlesbrough,density,2769.034327117235,2614.0463534861624,2502.950914597933,2568.8175555291605,2671.0
E06000003,Redcar and Cleveland,density,613.2255435902522,592.1703090998193,567.7160415995937,551.5859365723302,557.0
E06000004,Stockton-on-Tees,density,838.7664071836126,848.6281620684995,870.596306794754,934.9880521984979,959.0
E06000005,Darlington,density,492.3031893695446,500.84591744190107,495.44784505000297,534.5610825312606,546.0
E06000006,Halton,density,1540.9564513681655,1564.3619442617976,1494.7144808052194,1590.0308532699407,1621.0
E06000007,Warrington,density,925.3775302707942,1011.3886060791272,1057.8376873118714,1119.583408764648,1168.0
E06000008,Blackburn with Darwen,density,1028.315870213637,997.0070521470624,1003.2688157603774,1076.3884074174896,1130.0
E06000009,Blackpool,density,4180.448454155184,4188.850875658501,4080.3076490712892,4074.0273408486732,4046.0
E06000010,Kingston upon Hull,density,3726.546685907546,3549.9282657923527,3402.9115566811997,3581.904819113849,3731.0
E06000011,East Riding of Yorkshire,density,111.37879762238241,121.4873876856263,130.68484418347106,139.0327414390577,142.0
E06000012,North East Lincolnshire,density,829.9428572615201,828.88379315232,820.1101738163013,828.6449845786767,815.0
E06000013,North Lincolnshire,density,175.946774405607,179.89342737573799,180.55139975058475,197.80043497053475,200.0
E06000014,York,density,581.8563064066892,613.3605754980853,665.980464190601,728.3123611322561,746.0
E06000015,Derby,density,2748.0068844345396,2804.0358267408765,2841.2773881183275,3187.857149264845,3350.0
E06000016,Leicester,density,3766.527001544815,3688.100013498386,3816.6755519681055,4497.2669176366635,5026.0
E06000017,Rutland,density,78.5608723014588,82.46835709906443,90.51117600888139,97.8678280172422,107.0
E06000018,Nottingham,density,3595.302171733688,3531.841550824787,3578.2676523725013,4096.862217409252,4338.0
E06000019,Herefordshire,density,67.38054164467978,73.49374187219634,80.22674949238646,84.17498222469472,86.0
E06000020,Telford and Wrekin,density,424.89555263840464,480.5698112076696,545.351459472977,574.0032247875316,639.0
E06000021,Stoke-on-Trent,density,2673.536760889688,2617.8804368181404,2575.044008197028,2664.654863373944,2765.0
E06000022,Bath and North East Somerset,density,445.41061516959996,458.80837958752,488.73506484645196,508.89531760565694,559.0
E06000023,Bristol,density,3509.5038138355835,3429.907948188371,3470.631414333457,3904.8752353726977,4308.0
E06000024,North Somerset,density,429.03078907952766,474.84223386044226,504.51452229756086,541.9834787694642,580.0
E06000025,South Gloucestershire,density,405.72110536790206,443.3430144363514,494.19294768261113,528.6522021491568,584.0
E06000026,Plymouth,density,3013.81219967013,3047.888720934456,3014.751464313579,3210.8323512799675,3315.0
E06000027,Torbay,density,1760.3881265832047,1903.0096983940962,2062.455177326844,2082.459407156044,2215.0
E06000030,Swindon,density,655.1516276223601,742.5248801247146,782.5216988065275,909.0051731189044,1014.0
E06000031,Peterborough,density,383.5333751531112,446.0562726463125,454.4784730073138,534.7776882749109,628.0
E06000032,Luton,density,3764.696384291563,3959.8869730696038,4252.857390000577,4687.180670088232,5197.0
E06000033,Southend-on-Sea,density,3738.8840097710327,3803.720287372043,3845.520729852042,4167.038599421225,4336.0
E06000034,Thurrock,density,770.9548081600566,780.1590726398358,873.6055508795018,962.5719693524848,1074.0
E06000035,Medway,density,1215.0580597602036,1240.1155929715012,1287.897325028315,1362.4452931173864,1444.0
E06000036,Bracknell Forest,density,742.5654321506835,877.1734151976108,1002.109077810984,1034.9291443104723,1139.0
E06000037,West Berkshire,density,170.04102626731972,194.12567471807753,205.176779331509,218.44037700427305,229.0
E06000038,Reading,density,3240.774670205601,3190.909361010973,3542.863368062433,3854.97959830448,4313.0
E06000039,Slough,density,2972.0145412529687,3245.907583761244,3658.6062891226393,4308.445419597504,4871.0
E06000040,Windsor and Maidenhead,density,657.7296786745356,674.116305355119,680.0195621717268,735.6679356972484,781.0
E06000041,Wokingham,density,631.6345288848906,777.726868899083,839.3744167984398,862.6074906827437,992.0
